"ID";"Tagnr";"Dato";"Klokke";"Status";"Plottsikkerhet";"Årstall";"Lokalitet";"Art";"Kjønn";"Alder";"Vekt";"Bryst";"Ving 1";"Ving 2";"Dødsårsak";"X-koordinat";"Y-koordinat";"Kondisjon";"Høyde_stripe_kam";"Lengde_stripe_kam";"Frekvens";"organismID";"occurrenceID"
3505;"4272265";10.2.2013 00.00.00;30.12.1899 22.50.00;2;1;2013,00;44,00;"F";2,00;1,00;450,00;;195,00;;;452247,00;7143122,00;23,07;;;;"c41bfe0c-2421-11e7-a02d-c1c81e3148db";"c4db80a7-2421-11e7-a02d-c1c81e3148db"
3506;"4272266";11.2.2013 00.00.00;30.12.1899 22.20.00;2;1;2013,00;44,00;"F";1,00;1,00;605,00;73,90;203,00;203,00;;454457,00;7142513,00;29,80;5,90;27,80;152051;"c41bfe0d-2421-11e7-a02d-c1c81e3148db";"c4dbd04c-2421-11e7-a02d-c1c81e3148db"
3509;"4272268";11.2.2013 00.00.00;30.12.1899 00.45.00;2;1;2013,00;44,00;"F";2,00;2,00;420,00;64,70;187,00;189,00;2,00;452921,00;7142435,00;22,34;;;152061;"c41c253a-2421-11e7-a02d-c1c81e3148db";"c4dbf75c-2421-11e7-a02d-c1c81e3148db"
3510;"4272269";11.2.2013 00.00.00;30.12.1899 23.30.00;2;1;2013,00;44,00;"F";1,00;1,00;545,00;74,60;208,00;210,00;;455129,00;7141189,00;26,07;8,40;31,00;152277;"c41c253b-2421-11e7-a02d-c1c81e3148db";"c4dbf75d-2421-11e7-a02d-c1c81e3148db"
3511;"4272269";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";1,00;1,00;545,00;74,60;208,00;210,00;;452413,00;7142118,00;26,07;8,40;31,00;152277;"c41c253b-2421-11e7-a02d-c1c81e3148db";"c4dbf75e-2421-11e7-a02d-c1c81e3148db"
3512;"4272270";11.2.2013 00.00.00;30.12.1899 04.00.00;2;1;2013,00;44,00;"F";1,00;1,00;530,00;72,10;207,00;207,00;;451825,00;7141880,00;25,60;7,90;31,30;152329;"c41c253c-2421-11e7-a02d-c1c81e3148db";"c4dc1e9e-2421-11e7-a02d-c1c81e3148db"
3513;"4272271";13.2.2013 00.00.00;30.12.1899 00.55.00;2;1;2013,00;44,00;"F";1,00;1,00;570,00;75,10;210,00;210,00;;452847,00;7142428,00;27,14;8,10;29,00;152044;"c41c4c68-2421-11e7-a02d-c1c81e3148db";"c4dc1e9f-2421-11e7-a02d-c1c81e3148db"
3514;"4272271";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";1,00;1,00;570,00;75,10;210,00;210,00;;452851,00;7142485,00;27,14;8,10;29,00;152044;"c41c4c68-2421-11e7-a02d-c1c81e3148db";"c4dc1ea0-2421-11e7-a02d-c1c81e3148db"
3515;"4272272";12.2.2013 00.00.00;30.12.1899 02.10.00;2;1;2013,00;44,00;"F";1,00;2,00;525,00;75,60;200,00;200,00;;452750,00;7142595,00;26,25;6,50;27,30;152151;"c41c4c69-2421-11e7-a02d-c1c81e3148db";"c4dc448c-2421-11e7-a02d-c1c81e3148db"
3516;"4272272";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";1,00;2,00;525,00;75,60;200,00;200,00;;452417,00;7142568,00;26,25;6,50;27,30;152151;"c41c4c69-2421-11e7-a02d-c1c81e3148db";"c4dc448d-2421-11e7-a02d-c1c81e3148db"
3517;"4272272";13.2.2013 00.00.00;30.12.1899 01.50.00;1;1;2013,00;44,00;"F";1,00;2,00;525,00;75,60;200,00;200,00;;452860,00;7141997,00;26,25;6,50;27,30;152151;"c41c4c69-2421-11e7-a02d-c1c81e3148db";"c4dc448e-2421-11e7-a02d-c1c81e3148db"
3518;"4272273";13.2.2013 00.00.00;30.12.1899 01.45.00;2;1;2013,00;44,00;"F";1,00;2,00;470,00;71,70;196,00;195,00;;452183,00;7142041,00;24,04;4,00;26,80;152079;"c41c4c6a-2421-11e7-a02d-c1c81e3148db";"c4dc6cfa-2421-11e7-a02d-c1c81e3148db"
3519;"4272273";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";1,00;2,00;470,00;71,70;196,00;195,00;;451645,00;7141194,00;24,04;4,00;26,80;152079;"c41c4c6a-2421-11e7-a02d-c1c81e3148db";"c4dc6cfb-2421-11e7-a02d-c1c81e3148db"
3520;"4272274";13.2.2013 00.00.00;30.12.1899 01.35.00;2;1;2013,00;44,00;"F";2,00;1,00;535,00;69,50;200,00;199,00;;452703,00;7142431,00;26,81;;;152827;"c41c738c-2421-11e7-a02d-c1c81e3148db";"c4dc6cfc-2421-11e7-a02d-c1c81e3148db"
3521;"4272275";13.2.2013 00.00.00;30.12.1899 03.25.00;2;1;2013,00;44,00;"F";2,00;1,00;485,00;69,40;193,00;192,00;;452232,00;7142805,00;25,19;;;152440;"c41c738d-2421-11e7-a02d-c1c81e3148db";"c4dc940a-2421-11e7-a02d-c1c81e3148db"
3522;"4272275";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";2,00;1,00;485,00;69,40;193,00;192,00;;451893,00;7141484,00;25,19;;;152440;"c41c738d-2421-11e7-a02d-c1c81e3148db";"c4dc940b-2421-11e7-a02d-c1c81e3148db"
3523;"4272276";13.2.2013 00.00.00;30.12.1899 02.40.00;2;1;2013,00;44,00;"F";1,00;1,00;545,00;72,00;199,00;200,00;1,00;452389,00;7142182,00;27,31;8,20;32,50;152321;"c41c738e-2421-11e7-a02d-c1c81e3148db";"c4dcba02-2421-11e7-a02d-c1c81e3148db"
3524;"4272276";13.2.2013 00.00.00;30.12.1899 16.00.00;1;1;2013,00;44,00;"F";1,00;1,00;545,00;72,00;199,00;200,00;1,00;452640,00;7141541,00;27,31;8,20;32,50;152321;"c41c738e-2421-11e7-a02d-c1c81e3148db";"c4dcba03-2421-11e7-a02d-c1c81e3148db"
3525;"4272277";14.2.2013 00.00.00;30.12.1899 00.30.00;2;1;2013,00;44,00;"F";2,00;2,00;475,00;67,80;190,00;190,00;3,00;452025,00;7143509,00;25,00;;;152088;"c41c9aba-2421-11e7-a02d-c1c81e3148db";"c4dce266-2421-11e7-a02d-c1c81e3148db"
3526;"4272278";14.2.2013 00.00.00;30.12.1899 01.10.00;2;1;2013,00;44,00;"F";2,00;1,00;500,00;67,30;190,00;190,00;1,00;451633,00;7143810,00;26,31;;;152746;"c41c9abb-2421-11e7-a02d-c1c81e3148db";"c4dce267-2421-11e7-a02d-c1c81e3148db"
3527;"4272279";14.2.2013 00.00.00;30.12.1899 01.40.00;2;1;2013,00;44,00;"F";1,00;1,00;550,00;76,00;208,00;209,00;;452342,00;7143840,00;26,37;4,40;29,90;152772;"c41c9abc-2421-11e7-a02d-c1c81e3148db";"c4dce268-2421-11e7-a02d-c1c81e3148db"
3530;"4272282";14.2.2013 00.00.00;30.12.1899 21.50.00;2;1;2013,00;44,00;"F";2,00;1,00;520,00;70,20;197,00;198,00;;452520,00;7143108,00;26,32;;;152791;"c41cc1e0-2421-11e7-a02d-c1c81e3148db";"c4dd09a0-2421-11e7-a02d-c1c81e3148db"
3531;"4272283";14.2.2013 00.00.00;30.12.1899 23.05.00;2;1;2013,00;44,00;"F";1,00;2,00;585,00;73,20;207,00;207,00;;452577,00;7142172,00;28,26;8,50;33,50;152736;"c41ce90c-2421-11e7-a02d-c1c81e3148db";"c4dd30ae-2421-11e7-a02d-c1c81e3148db"
3532;"4272284";14.2.2013 00.00.00;30.12.1899 23.25.00;2;1;2013,00;44,00;"F";1,00;1,00;520,00;69,20;201,00;202,00;;452605,00;7142772,00;25,80;4,10;25,80;152286;"c41ce90d-2421-11e7-a02d-c1c81e3148db";"c4dd30af-2421-11e7-a02d-c1c81e3148db"
3533;"4272285";15.2.2013 00.00.00;30.12.1899 00.10.00;2;1;2013,00;44,00;"F";1,00;1,00;565,00;76,00;212,00;212,00;;452226,00;7142800,00;26,65;8,40;31,40;152979;"c41ce90e-2421-11e7-a02d-c1c81e3148db";"c4dd30b0-2421-11e7-a02d-c1c81e3148db"
3534;"4272286";15.2.2013 00.00.00;30.12.1899 00.20.00;2;1;2013,00;44,00;"F";1,00;1,00;485,00;72,40;;200,00;;452348,00;7142801,00;24,25;5,00;30,30;152844;"c41d103a-2421-11e7-a02d-c1c81e3148db";"c4dd57f0-2421-11e7-a02d-c1c81e3148db"
3535;"4271271";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2012,00;44,00;"F";1,00;2,00;570,00;76,00;205,00;204,00;1,00;452984,00;7142166,00;27,87;7,20;31,10;152238;"c418c7a0-2421-11e7-a02d-c1c81e3148db";"c4dd57f1-2421-11e7-a02d-c1c81e3148db"
3536;"4271255";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2012,00;44,00;"F";1,00;2,00;425,00;66,00;190,00;189,00;;452957,00;7142981,00;22,42;6,40;23,10;152311;"c41a9da1-2421-11e7-a02d-c1c81e3148db";"c4dd57f2-2421-11e7-a02d-c1c81e3148db"
3537;"4271271";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2012,00;44,00;"F";1,00;2,00;570,00;76,00;205,00;204,00;1,00;451713,00;7142661,00;27,87;7,20;31,10;152238;"c418c7a0-2421-11e7-a02d-c1c81e3148db";"c4dd7f00-2421-11e7-a02d-c1c81e3148db"
3538;"4272251";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";2,00;2,00;470,00;70,30;189,00;189,00;;451418,00;7143658,00;24,86;;;152370;"c41b3a44-2421-11e7-a02d-c1c81e3148db";"c4dd7f01-2421-11e7-a02d-c1c81e3148db"
3539;"4272251";9.3.2013 00.00.00;30.12.1899 12.00.00;1;2;2013,00;44,00;"F";2,00;2,00;470,00;70,30;189,00;189,00;;451418,00;7143658,00;24,86;;;152370;"c41b3a44-2421-11e7-a02d-c1c81e3148db";"c4dd7f02-2421-11e7-a02d-c1c81e3148db"
3540;"4272252";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";2,00;1,00;500,00;69,90;199,00;201,00;3,00;451418,00;7143658,00;25,00;;;152540;"c41b3a45-2421-11e7-a02d-c1c81e3148db";"c4dda64c-2421-11e7-a02d-c1c81e3148db"
